,retweets
2036,454
2037,253
2038,606
2039,3132
2040,391
2041,415
2042,173
2043,196
2044,654
2045,258
2046,133
2047,105
2048,371
2049,176
2050,284
2051,302
2052,968
2053,69
2054,186
2055,128
2056,192
2057,572
2058,344
2059,163
2060,2189
2061,674
2062,378
2063,244
2064,7580
2065,166
2066,599
2067,109
2068,184
2069,3516
2070,162
2071,83
2072,1322
2073,231
2074,428
2075,821
2076,78
2077,203
2078,238
2079,210
2080,171
2081,331
2082,661
2083,249
2084,62
2085,371
2086,89
2087,446
2088,314
2089,418
2090,319
2091,209
2092,243
2093,35
2094,4326
2095,634
2096,77
2097,467
2098,174
2099,571
2100,1746
2101,175
2102,438
2103,562
2104,100
2105,524
2106,142
2107,552
2108,265
2109,282
2110,772
2111,188
2112,130
2113,173
2114,238
2115,55
2116,96
2117,1067
2118,107
2119,250
2120,277
2121,218
2122,1057
2123,681
2124,205
2125,290
2126,279
2127,152
2128,97
2129,240
2130,77
2131,70
2132,134
2133,43
2134,133
2135,81
2136,50
2137,341
2138,55
2139,75
2140,94
2141,116
2142,244
2143,367
2144,1572
2145,316
2146,133
2147,804
2148,120
2149,883
2150,45
2151,104
2152,62
2153,633
2154,148
2155,130
2156,202
2157,103
2158,1095
2159,229
2160,157
2161,367
2162,102
2163,182
2164,348
2165,135
2166,408
2167,265
2168,324
2169,209
2170,5529
2171,191
2172,294
2173,288
2174,391
2175,140
2176,259
2177,294
2178,497
2179,18
2180,210
2181,63
2182,50
2183,88
2184,126
2185,268
2186,139
2187,112
2188,227
2189,325
2190,190
2191,458
2192,447
2193,468
2194,435
2195,1384
2196,280
2197,97
2198,111
2199,655
2200,35
2201,272
2202,922
2203,46
2204,197
2205,182
2206,61
2207,189
2208,87
2209,114
2210,207
2211,127
2212,442
2213,255
2214,28
2215,118
2216,198
2217,206
2218,518
2219,408
2220,2427
2221,85
2222,169
2223,173
2224,171
2225,162
2226,273
2227,239
2228,208
2229,694
2230,95
2231,46
2232,246
2233,334
2234,908
2235,400
2236,101
2237,340
2238,901
2239,69
2240,55
2241,417
2242,82
2243,286
2244,211
2245,44
2246,185
2247,127
2248,269
2249,29
2250,26
2251,1961
2252,107
2253,459
2254,58
2255,446
2256,206
2257,968
2258,166
2259,1867
2260,194
2261,231
2262,190
2263,85
2264,53
2265,74
2266,490
2267,198
2268,76
2269,197
2270,50
2271,145
2272,210
2273,228
2274,86
2275,331
2276,5278
2277,48
2278,388
2279,70
2280,72
2281,972
2282,50
2283,14623
2284,1874
2285,106
2286,106
2287,104
2288,13
2289,40
2290,45
2291,43
2292,187
2293,79
2294,847
2295,473
2296,66
2297,79
2298,212
2299,79
2300,410
2301,168
2302,150
2303,60
2304,182
2305,42
2306,524
2307,70
2308,180
2309,19
2310,40
2311,42
2312,160
2313,67
2314,91
2315,39
2316,262
2317,30
2318,69
2319,73
2320,469
2321,58
2322,124
2323,79
2324,290
2325,57
2326,68
2327,38
2328,5490
2329,11
2330,53
2331,63
2332,37
2333,132
2334,51
2335,180
2336,47
2337,112
2338,196
2339,704
2340,50
2341,37
2342,115
2343,36
2344,39
2345,423
